"PIM.ID","EAN","External.Title","Short.description","Long.description","brand","tl_item.ASSETS.0","Articlenumber","modeljaar","consumentenadviesprijs","Model.Number","framemateriaal","Type.frame.DST"
30169,8713568288057,"O.DUTCH LX DR7 ZWART 50","Ga jij graag op een solide klassieker door de straten? Dan voel je je helemaal thuis op een fiets uit de Old Dutch-lijn. De zeven versnellingen van de Old Dutch Deluxe zorgen voor extra comfort. En al die bijzondere retrodetails: om verliefd op te worden!
","Ga jij graag op een solide klassieker door de straten? Dan voel je je helemaal thuis op een fiets uit de Old Dutch-lijn. De zeven versnellingen van de Old Dutch Deluxe zorgen voor extra comfort. En al die bijzondere retrodetails: om verliefd op te worden!
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100392/BC100392_afca105442.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100392/BC100392_1_L_WEB72_3c562fe1f7.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100392/BC100392_2_L_WEB72_2bb060f256.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100392/BC100392_3_L_WEB72_60b032046f.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100392/BC100392_4_L_WEB72_3e3ad1c145.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100392/BC100392_5_L_WEB72_c752be3eeb.jpg","BC100667        ",2019,"€ 699,00","BAOLLXDZ","Staal","Female"
30350,8713568272582,"CLICK DV7 ZWART-MAT 49","De Batavus Click is een elegante stadsfiets. Met de zeven versnellingen en V-brakes fiets je met gemak door de straten van de stad of daarbuiten. ","De Batavus Click is een elegante stadsfiets. Met de zeven versnellingen en V-brakes fiets je met gemak door de straten van de stad of daarbuiten. 
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_f2945a434f.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_1_L_WEB72_f745ee053c.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_2_L_WEB72_a66a031d52.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_3_L_WEB72_c99d72a87b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_4_L_WEB72_4f53089a7f.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_5_L_WEB72_02f8869b9c.jpg","BC100134        ",2019,"€ 569,00","BACLV7DZM","Aluminium","Female"
30353,8713568267649,"CLICK DV7 ZWART-MAT 54","De Batavus Click is een elegante stadsfiets. Met de zeven versnellingen en V-brakes fiets je met gemak door de straten van de stad of daarbuiten. ","De Batavus Click is een elegante stadsfiets. Met de zeven versnellingen en V-brakes fiets je met gemak door de straten van de stad of daarbuiten. 
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_f2945a434f.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_1_L_WEB72_f745ee053c.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_2_L_WEB72_a66a031d52.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_3_L_WEB72_c99d72a87b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_4_L_WEB72_4f53089a7f.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_5_L_WEB72_02f8869b9c.jpg","BC100135        ",2019,"€ 569,00","BACLV7DZM","Aluminium","Female"
30355,8713568272681,"CLICK DV7 ZWART-MAT 58","De Batavus Click is een elegante stadsfiets. Met de zeven versnellingen en V-brakes fiets je met gemak door de straten van de stad of daarbuiten. ","De Batavus Click is een elegante stadsfiets. Met de zeven versnellingen en V-brakes fiets je met gemak door de straten van de stad of daarbuiten. 
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_f2945a434f.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_1_L_WEB72_f745ee053c.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_2_L_WEB72_a66a031d52.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_3_L_WEB72_c99d72a87b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_4_L_WEB72_4f53089a7f.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100135/BC100135_5_L_WEB72_02f8869b9c.jpg","BC100136        ",2019,"€ 569,00","BACLV7DZM","Aluminium","Female"
32057,8713568299701,"SNAKE-24 HR3 MOSGROEN/ZWART 38","De Batavus Snake is al jaren de best verkochte jongensfiets van Nederland. Geen wonder, want de Snake is niet alleen stoer, maar ook veilig en robuust. De avontuurlijke looks worden gecombineerd met veilige handremmen en goede verlichting. Met de 3 versnellingen én verende voorvork kan je overal en altijd uit de voeten.  ","De Batavus Snake is al jaren de best verkochte jongensfiets van Nederland. Geen wonder, want de Snake is niet alleen stoer, maar ook veilig en robuust. De avontuurlijke looks worden gecombineerd met veilige handremmen en goede verlichting. Met de 3 versnellingen én verende voorvork kan je overal en altijd uit de voeten.  ","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500021/BK500021_9132bbad64.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500021/BK500021_1_L_WEB72_3a2c76e731.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500021/BK500021_2_L_WEB72_535fe1e09a.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500021/BK500021_3_L_WEB72_cd81837434.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500021/BK500021_4_L_WEB72_3d59007841.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500021/BK500021_5_L_WEB72_e83bf6fbe1.jpg","BK500021        ",2019,"€ 449,00","BASNA24JG","Aluminium","Male"
32073,8713568300292,"SNAKE-26 HR3 WIT/ANTRA 43","De Batavus Snake is al jaren de best verkochte jongensfiets van Nederland. Geen wonder, want de Snake is niet alleen stoer, maar ook veilig en robuust. De avontuurlijke looks worden gecombineerd met veilige handremmen en goede verlichting. Met de 3 versnellingen én verende voorvork kan je overal en altijd uit de voeten.  
","De Batavus Snake is al jaren de best verkochte jongensfiets van Nederland. Geen wonder, want de Snake is niet alleen stoer, maar ook veilig en robuust. De avontuurlijke looks worden gecombineerd met veilige handremmen en goede verlichting. Met de 3 versnellingen én verende voorvork kan je overal en altijd uit de voeten.  
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500024/BK500024_a54effcb54.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500024/BK500024_1_L_WEB72_a115a956f3.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500024/BK500024_2_L_WEB72_ae1833b283.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500024/BK500024_3_L_WEB72_477d10c0df.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500024/BK500024_4_L_WEB72_5baa4c51c0.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500024/BK500024_5_L_WEB72_bd5096d8e9.jpg","BK500024        ",2019,"€ 459,00","BASNA26JAW","Aluminium","Male"
32076,8713568300308,"SNAKE 26 HR3 ANTRA/ZWART-MAT 48","De Batavus Snake is al jaren de best verkochte jongensfiets van Nederland. Geen wonder, want de Snake is niet alleen stoer, maar ook veilig en robuust. De avontuurlijke looks worden gecombineerd met veilige handremmen en goede verlichting. Met de 3 versnellingen én verende voorvork kan je overal en altijd uit de voeten.  
","De Batavus Snake is al jaren de best verkochte jongensfiets van Nederland. Geen wonder, want de Snake is niet alleen stoer, maar ook veilig en robuust. De avontuurlijke looks worden gecombineerd met veilige handremmen en goede verlichting. Met de 3 versnellingen én verende voorvork kan je overal en altijd uit de voeten.  ","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500025/BK500025_cd43847ced.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500025/BK500025_1_L_WEB72_6a70d8225c.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500025/BK500025_2_L_WEB72_7461014402.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500025/BK500025_3_L_WEB72_06c78f1463.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500025/BK500025_4_L_WEB72_14413cec5e.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK500025/BK500025_5_L_WEB72_9f81cd72ad.jpg","BK500025        ",2019,"€ 459,00","BASNA26JAZ","Aluminium","Male"
33670,8717144192493,"DOUBLE-X DI54/50 N8 GREY/DARKBLUE","Met de Double X kun je met z'n tweeën erop uit. De monoshock vering in de voorkvork zorgt voor iedere fietsrit voor het nodige comfort. 
","Met de Double X kun je met z'n tweeën eropuit en genieten. De voor- en achtervering zorgen voor een comfortabele rit. Het achterste stuur is op hoogte verstelbaar. Met de Shimano rollerbrakes kom je veilig tot stilstand. ","Sparta","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Sparta/07505303/07505303_4c6b42eca4.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Sparta/07505303/07505303_01_0e51a24029.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Sparta/07505303/07505303_02_2a15a25045.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Sparta/07505303/07505303_040_L_WEB72_e93ec39861.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Sparta/07505303/07505303_061_L_WEB72_a0f9f8ad3c.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Sparta/07505303/07505303_130_L_WEB72_ddd47683bc.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Sparta/07505303/07505303_131_L_WEB72_bce72cdbb9.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Sparta/07505303/07505303_150_L_WEB72_8bf3dd4277.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Sparta/07505303/07505303_170_L_WEB72_5ad11c9315.jpg","07505303        ",2019,"€ 1.849,00","S17DOUBLEX","Aluminium","Unisex"
50568,8713568308359,"DOUBLE F8i DI54/50 NO BATT N8 GREY/DARKBLUE","Met de Double F8i kun je met z'n tweeën erop uit.  De comfortabele en stille ION technologie zorgt er voor dat je maximaal van je fietstocht kunt genieten.
","Met de Double-I kun je met z'n tweeën eropuit en genieten. Door de ondersteuning van de geruisloze voorwielmotor kan je ook langere afstanden afleggen dan normaal. De voor- en achtervering zorgen voor een comfortabele rit. 
","Sparta","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Sparta/04507781/04507781_46762d3488.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Sparta/04507781/04507781_01_aca9acf285.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Sparta/04507781/04507781_02_76f0bbe979.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Sparta/04507781/04507781_026_d0f852d80f.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Sparta/04507781/04507781_034_14853d47e6.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Sparta/04507781/04507781_050_dcf6ec0b64.jpg","04507783        ",2019,"€ 3.249,00","S17DOUBLEI","Aluminium","Unisex"
196605,8713568308083,"DINSDAG DN7 ZWART-MAT 48","Op deze heerlijk lichte fiets stuur je snel en strak door zelfs de kleinste straatjes van de stad. Door de sportievere houding gaat dat net wat vlotter dan je bent gewend. Naar je werk, de sportschool, of naar vrienden, de Dinsdag brengt je er. Elke dag van de week.
","Op deze heerlijk lichte fiets stuur je snel en strak door zelfs de kleinste straatjes van de stad. Door de sportievere houding gaat dat net wat vlotter dan je bent gewend. Naar je werk, de sportschool, of naar vrienden, de Dinsdag brengt je er. Elke dag van de week.
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_a2fb314913.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_1_L_WEB72_c6645cb121.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_2_L_WEB72_69f562dd6c.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_3_L_WEB72_fc7f816efb.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_4_L_WEB72_97944aaaff.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_5_L_WEB72_54433e9305.jpg","BC100949        ",2019,"€ 799,00","BADINDZM","Aluminium","Female"
196607,8713568308090,"DINSDAG DN7 ZWART-MAT 53","Op deze heerlijk lichte fiets stuur je snel en strak door zelfs de kleinste straatjes van de stad. Door de sportievere houding gaat dat net wat vlotter dan je bent gewend. Naar je werk, de sportschool, of naar vrienden, de Dinsdag brengt je er. Elke dag van de week.
","Op deze heerlijk lichte fiets stuur je snel en strak door zelfs de kleinste straatjes van de stad. Door de sportievere houding gaat dat net wat vlotter dan je bent gewend. Naar je werk, de sportschool, of naar vrienden, de Dinsdag brengt je er. Elke dag van de week.
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_a2fb314913.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_1_L_WEB72_c6645cb121.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_2_L_WEB72_69f562dd6c.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_3_L_WEB72_fc7f816efb.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_4_L_WEB72_97944aaaff.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_5_L_WEB72_54433e9305.jpg","BC100950        ",2019,"€ 799,00","BADINDZM","Aluminium","Female"
196609,8713568308106,"DINSDAG DN7 ZWART-MAT 57","Op deze heerlijk lichte fiets stuur je snel en strak door zelfs de kleinste straatjes van de stad. Door de sportievere houding gaat dat net wat vlotter dan je bent gewend. Naar je werk, de sportschool, of naar vrienden, de Dinsdag brengt je er. Elke dag van de week.
","Op deze heerlijk lichte fiets stuur je snel en strak door zelfs de kleinste straatjes van de stad. Door de sportievere houding gaat dat net wat vlotter dan je bent gewend. Naar je werk, de sportschool, of naar vrienden, de Dinsdag brengt je er. Elke dag van de week.
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_a2fb314913.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_1_L_WEB72_c6645cb121.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_2_L_WEB72_69f562dd6c.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_3_L_WEB72_fc7f816efb.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_4_L_WEB72_97944aaaff.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100950/BC100950_5_L_WEB72_54433e9305.jpg","BC100951        ",2019,"€ 799,00","BADINDZM","Aluminium","Female"
196613,8713568308298,"DINSDAG HN7 ZWART-MAT 53","Op deze heerlijk lichte fiets stuur je snel en strak door zelfs de kleinste straatjes van de stad. Door de sportievere houding gaat dat net wat vlotter dan je bent gewend. Naar je werk, de sportschool, of naar vrienden, de Dinsdag brengt je er. Elke dag van de week.
","Op deze heerlijk lichte fiets stuur je snel en strak door zelfs de kleinste straatjes van de stad. Door de sportievere houding gaat dat net wat vlotter dan je bent gewend. Naar je werk, de sportschool, of naar vrienden, de Dinsdag brengt je er. Elke dag van de week.
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_35d913cb67.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_1_L_WEB72_3d1415ec2b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_2_L_WEB72_908181ce91.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_3_L_WEB72_eb32d0a6a9.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_4_L_WEB72_3858a44e79.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_5_L_WEB72_880da6dac7.jpg","BC500413        ",2019,"€ 799,00","BADINHZM","Aluminium","Male"
196614,8713568308304,"DINSDAG HN7 ZWART-MAT 57","Op deze heerlijk lichte fiets stuur je snel en strak door zelfs de kleinste straatjes van de stad. Door de sportievere houding gaat dat net wat vlotter dan je bent gewend. Naar je werk, de sportschool, of naar vrienden, de Dinsdag brengt je er. Elke dag van de week.
","Op deze heerlijk lichte fiets stuur je snel en strak door zelfs de kleinste straatjes van de stad. Door de sportievere houding gaat dat net wat vlotter dan je bent gewend. Naar je werk, de sportschool, of naar vrienden, de Dinsdag brengt je er. Elke dag van de week.
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_35d913cb67.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_1_L_WEB72_3d1415ec2b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_2_L_WEB72_908181ce91.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_3_L_WEB72_eb32d0a6a9.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_4_L_WEB72_3858a44e79.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_5_L_WEB72_880da6dac7.jpg","BC500414        ",2019,"€ 799,00","BADINHZM","Aluminium","Male"
196616,8713568308311,"DINSDAG HN7 ZWART-MAT 61","Op deze heerlijk lichte fiets stuur je snel en strak door zelfs de kleinste straatjes van de stad. Door de sportievere houding gaat dat net wat vlotter dan je bent gewend. Naar je werk, de sportschool, of naar vrienden, de Dinsdag brengt je er. Elke dag van de week.
","Op deze heerlijk lichte fiets stuur je snel en strak door zelfs de kleinste straatjes van de stad. Door de sportievere houding gaat dat net wat vlotter dan je bent gewend. Naar je werk, de sportschool, of naar vrienden, de Dinsdag brengt je er. Elke dag van de week.
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_35d913cb67.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_1_L_WEB72_3d1415ec2b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_2_L_WEB72_908181ce91.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_3_L_WEB72_eb32d0a6a9.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_4_L_WEB72_3858a44e79.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500414/BC500414_5_L_WEB72_880da6dac7.jpg","BC500415        ",2019,"€ 799,00","BADINHZM","Aluminium","Male"
196622,8713568307185,"DIVA PLUS DN7 ALPINEWIT     50","Op deze hippe en luxe transportfiets geniet je zelfs tijdens het kortste ritje van comfort en kwaliteit. Even snel naar de stad of een tochtje door de natuur? Op de Diva kom je overal. Veilig, comfortabel én in stijl!
","Op deze hippe en luxe transportfiets geniet je zelfs tijdens het kortste ritje van comfort en kwaliteit. Even snel naar de stad of een tochtje door de natuur? Op de Diva kom je overal. Veilig, comfortabel én in stijl!
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_9981b6d49d.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_1_L_WEB72_881196e09a.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_2_L_WEB72_5ff10bc4cd.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_3_L_WEB72_cdc016aa40.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_4_L_WEB72_4f59c67be4.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_5_L_WEB72_71b0fd7b05.jpg","BC100641        ",2019,"€ 799,00","BADIVDW","Aluminium","Female"
196626,8713568307192,"DIVA PLUS DN7 ALPINEWIT     56","Op deze hippe en luxe transportfiets geniet je zelfs tijdens het kortste ritje van comfort en kwaliteit. Even snel naar de stad of een tochtje door de natuur? Op de Diva kom je overal. Veilig, comfortabel én in stijl!
","Op deze hippe en luxe transportfiets geniet je zelfs tijdens het kortste ritje van comfort en kwaliteit. Even snel naar de stad of een tochtje door de natuur? Op de Diva kom je overal. Veilig, comfortabel én in stijl!
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_9981b6d49d.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_1_L_WEB72_881196e09a.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_2_L_WEB72_5ff10bc4cd.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_3_L_WEB72_cdc016aa40.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_4_L_WEB72_4f59c67be4.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_5_L_WEB72_71b0fd7b05.jpg","BC100642        ",2019,"€ 799,00","BADIVDW","Aluminium","Female"
196630,8713568307208,"DIVA PLUS DN7 ALPINEWIT     62","Op deze hippe en luxe transportfiets geniet je zelfs tijdens het kortste ritje van comfort en kwaliteit. Even snel naar de stad of een tochtje door de natuur? Op de Diva kom je overal. Veilig, comfortabel én in stijl!
","Op deze hippe en luxe transportfiets geniet je zelfs tijdens het kortste ritje van comfort en kwaliteit. Even snel naar de stad of een tochtje door de natuur? Op de Diva kom je overal. Veilig, comfortabel én in stijl!
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_9981b6d49d.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_1_L_WEB72_881196e09a.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_2_L_WEB72_5ff10bc4cd.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_3_L_WEB72_cdc016aa40.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_4_L_WEB72_4f59c67be4.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100642/BC100642_5_L_WEB72_71b0fd7b05.jpg","BC100643        ",2019,"€ 799,00","BADIVDW","Aluminium","Female"
202817,8713568309585,"CHICANE DN7 ZWART-MAT 48","In je drukke leven ben je snel en sportief, en dat zie je ook graag terug in je fiets. De Chicane heeft geen verende onderdelen, wat zorgt voor een lichte fiets met een strak en sportief stuurgedrag. Zo loods je jezelf veilig door het verkeer en kom je comfortabel daar waar je moet zijn.
","In je drukke leven ben je snel en sportief, en dat zie je ook graag terug in je fiets. De Chicane heeft geen verende onderdelen, wat zorgt voor een lichte fiets met een strak en sportief stuurgedrag. Zo loods je jezelf veilig door het verkeer en kom je comfortabel daar waar je moet zijn.
","Batavus","https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100872/BC100872_067546bea6.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100872/BC100872_1_L_WEB72_1229a4bd9e.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100872/BC100872_2_L_WEB72_23a4cc4af4.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100872/BC100872_3_L_WEB72_58dc9a15af.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100872/BC100872_4_L_WEB72_0125a0bc68.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC100872/BC100872_5_L_WEB72_6162b107ce.jpg","BC100871        ",2019,"€ 769,00","BACHDZM","Aluminium","Female"
