PIM.ID,EAN,Articlenumber,External.Title,modeljaar,consumentenadviesprijs,Model.Number,Type.frame.DST,framemateriaal,brand,tl_item.ASSETS.0,Short.description
364958,8713568367875,BK100056        ,CNCTD-26 HR3 ZWART-MAT 43,2019,"€ 459,00",BACNCJ26Z,Jongens,Aluminium,Batavus,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100056/BK100056_90972a3dba.jpg,"Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 26 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!"
364962,8713568367929,BK100061        ,CNCTD-26 DR3 GROEN-MAT 43,2019,"€ 459,00",BACNCM26G,Meisjes,Aluminium,Batavus,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100061/BK100061_5b55669e8a.jpg,"Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 26 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!"
364963,8713568367912,BK100060        ,CNCTD-26 DR3 ALPINE-WIT MAT 43,2019,"€ 459,00",BACNCM26W,Meisjes,Aluminium,Batavus,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100060/BK100060_e53dc61827.jpg,"Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 26 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!"
364964,8713568367936,BK100062        ,CNCTD-26 DR3 ZWART-MAT 43,2019,"€ 459,00",BACNCM26Z,Meisjes,Aluminium,Batavus,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100062/BK100062_c5fd640065.jpg,"Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 26 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!"
364957,8713568367868,BK100055        ,CNCTD-24 HR3 ZWART-MAT 38,2019,"€ 459,00",BACNCJ24Z,Jongens,Aluminium,Batavus,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100055/BK100055_cc9077049e.jpg,"Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 24 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!"
364959,8713568367905,BK100059        ,CNCTD-24 DR3 GROEN-MAT 38,2019,"€ 459,00",BACNCM24G,Meisjes,Aluminium,Batavus,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100059/BK100059_8c928e5103.jpg,"Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 24 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!"
364960,8713568367899,BK100058        ,CNCTD-24 DR3 ALPINE-WIT MAT 38,2019,"€ 459,00",BACNCM24W,Meisjes,Aluminium,Batavus,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100058/BK100058_f7a4006c1c.jpg,"Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 24 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!"
364961,8713568367882,BK100057        ,CNCTD-24 DR3 ZWART-MAT 38,2019,"€ 459,00",BACNCM24Z,Meisjes,Aluminium,Batavus,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BK100057/BK100057_883ff4e3f1.jpg,"Zie je jouw zoon of dochter de show al stelen in de straat of op het schoolplein? De CNCTD. 24 inch is ideaal voor jongens en meisjes die op de fiets naar school gaan. Alle spullen kunnen mee, de fiets heeft een achter- én voordrager. Stoerrr!"
361978,8713568332019,BE100619        ,WAYZ E-GO ACTIVE CONTROLE XN7 ZWART-MAT 45 400Wh,2019,"€ 2.599,00",BAWAECDZM,Lage instap,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100619/BE100619_240615d516.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100619/BE100619_1_fa35d0399e.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100619/BE100619_2_c26c117743.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100619/BE100619_3_743c1e08a4.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100619/BE100619_4_f17e1998ef.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100619/BE100619_5_3779b79860.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100619/BE100619_6_fe3488c160.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BE100619/BE100619_7_67813c4261.jpg","Wil je een extra zeker en stabiel gevoel bij het stoppen en wegrijden, dan  is deze luxe, allround e-bike  je ideale vriend. De zadelhoogte regel je  eenvoudig met een knop aan het stuur.  Met de Bosch Active middenmotor (40Nm)  vind je altijd de juiste ondersteuning. "
314772,8713568333382,BC101119        ,WAYZ COM DN7 PARELMOER 48,2019,"€ 879,00",BAWAYCDP,Lage instap,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_d91f62016b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_1_L_WEB72_d2178d6385.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_2_L_WEB72_48772aa92d.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_3_L_WEB72_0761c79b57.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_4_L_WEB72_36c5fcd54e.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_5_L_WEB72_f4f7ffb6df.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op je fiets. Perfect voor dagelijks gebruik in de stad."
314773,8713568333399,BC101120        ,WAYZ COM DN7 PARELMOER 53,2019,"€ 879,00",BAWAYCDP,Lage instap,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_d91f62016b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_1_L_WEB72_d2178d6385.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_2_L_WEB72_48772aa92d.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_3_L_WEB72_0761c79b57.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_4_L_WEB72_36c5fcd54e.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_5_L_WEB72_f4f7ffb6df.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op je fiets. Perfect voor dagelijks gebruik in de stad."
314774,8713568333405,BC101121        ,WAYZ COM DN7 PARELMOER 57,2019,"€ 879,00",BAWAYCDP,Lage instap,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_d91f62016b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_1_L_WEB72_d2178d6385.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_2_L_WEB72_48772aa92d.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_3_L_WEB72_0761c79b57.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_4_L_WEB72_36c5fcd54e.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101120/BC101120_5_L_WEB72_f4f7ffb6df.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op je fiets. Perfect voor dagelijks gebruik in de stad."
314776,8713568333344,BC101115        ,WAYZ COM DN7 ZWART-MAT 48,2019,"€ 879,00",BAWAYCDZM2,Lage instap,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_62a4742ccd.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_1_L_WEB72_2dc482f6a6.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_2_L_WEB72_66c4474102.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_3_L_WEB72_d4650eb677.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_4_L_WEB72_d14c8981bc.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op je fiets. Perfect voor dagelijks gebruik in de stad."
314777,8713568333351,BC101116        ,WAYZ COM DN7 ZWART-MAT 53,2019,"€ 879,00",BAWAYCDZM2,Lage instap,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_62a4742ccd.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_1_L_WEB72_2dc482f6a6.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_2_L_WEB72_66c4474102.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_3_L_WEB72_d4650eb677.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_4_L_WEB72_d14c8981bc.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op je fiets. Perfect voor dagelijks gebruik in de stad."
314778,8713568333368,BC101117        ,WAYZ COM DN7 ZWART-MAT 57,2019,"€ 879,00",BAWAYCDZM2,Lage instap,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_62a4742ccd.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_1_L_WEB72_2dc482f6a6.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_2_L_WEB72_66c4474102.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_3_L_WEB72_d4650eb677.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_4_L_WEB72_d14c8981bc.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op je fiets. Perfect voor dagelijks gebruik in de stad."
314779,8713568333375,BC101118        ,WAYZ COM DN7 ZWART-MAT 61,2019,"€ 879,00",BAWAYCDZM2,Lage instap,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_62a4742ccd.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_1_L_WEB72_2dc482f6a6.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_2_L_WEB72_66c4474102.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_3_L_WEB72_d4650eb677.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101116/BC101116_4_L_WEB72_d14c8981bc.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op je fiets. Perfect voor dagelijks gebruik in de stad."
314780,8713568333467,BC500549        ,WAYZ COM HN7 ZWART-MAT 53,2019,"€ 879,00",BAWAYCHZM2,Heren,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_33af444704.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_1_L_WEB72_89c9ff0d84.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_2_L_WEB72_a9f776070b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_3_L_WEB72_0bbd91c889.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_4_L_WEB72_aeff5b43e3.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_5_L_WEB72_4091a76772.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op je fiets. Perfect voor dagelijks gebruik in de stad."
314781,8713568333474,BC500550        ,WAYZ COM HN7 ZWART-MAT 57,2019,"€ 879,00",BAWAYCHZM2,Heren,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_33af444704.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_1_L_WEB72_89c9ff0d84.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_2_L_WEB72_a9f776070b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_3_L_WEB72_0bbd91c889.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_4_L_WEB72_aeff5b43e3.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_5_L_WEB72_4091a76772.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op je fiets. Perfect voor dagelijks gebruik in de stad."
314782,8713568333481,BC500551        ,WAYZ COM HN7 ZWART-MAT 61,2019,"€ 879,00",BAWAYCHZM2,Heren,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_33af444704.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_1_L_WEB72_89c9ff0d84.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_2_L_WEB72_a9f776070b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_3_L_WEB72_0bbd91c889.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_4_L_WEB72_aeff5b43e3.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_5_L_WEB72_4091a76772.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op je fiets. Perfect voor dagelijks gebruik in de stad."
314783,8713568333498,BC500552        ,WAYZ COM HN7 ZWART-MAT 65,2019,"€ 879,00",BAWAYCHZM2,Heren,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_33af444704.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_1_L_WEB72_89c9ff0d84.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_2_L_WEB72_a9f776070b.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_3_L_WEB72_0bbd91c889.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_4_L_WEB72_aeff5b43e3.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC500550/BC500550_5_L_WEB72_4091a76772.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op je fiets. Perfect voor dagelijks gebruik in de stad."
314784,8713568333306,BC101111        ,WAYZ DN7 PARELMOER 48,2019,"€ 799,00",BAWAYDP,Lage instap,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_bf0e1b9dde.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_1_L_WEB72_395c73ccc8.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_2_L_WEB72_b4f648bf3f.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_3_L_WEB72_04c6e41ac2.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_4_L_WEB72_41d646cf29.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_5_L_WEB72_4713d64a2a.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_6_L_WEB72_49c4915625.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op de fiets. Perfect voor dagelijks gebruik in de stad."
314785,8713568333313,BC101112        ,WAYZ DN7 PARELMOER 53,2019,"€ 799,00",BAWAYDP,Lage instap,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_bf0e1b9dde.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_1_L_WEB72_395c73ccc8.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_2_L_WEB72_b4f648bf3f.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_3_L_WEB72_04c6e41ac2.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_4_L_WEB72_41d646cf29.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_5_L_WEB72_4713d64a2a.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_6_L_WEB72_49c4915625.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op de fiets. Perfect voor dagelijks gebruik in de stad."
314786,8713568333320,BC101113        ,WAYZ DN7 PARELMOER 57,2019,"€ 799,00",BAWAYDP,Lage instap,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_bf0e1b9dde.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_1_L_WEB72_395c73ccc8.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_2_L_WEB72_b4f648bf3f.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_3_L_WEB72_04c6e41ac2.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_4_L_WEB72_41d646cf29.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_5_L_WEB72_4713d64a2a.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_6_L_WEB72_49c4915625.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op de fiets. Perfect voor dagelijks gebruik in de stad."
314787,8713568333337,BC101114        ,WAYZ DN7 PARELMOER 61,2019,"€ 799,00",BAWAYDP,Lage instap,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_bf0e1b9dde.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_1_L_WEB72_395c73ccc8.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_2_L_WEB72_b4f648bf3f.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_3_L_WEB72_04c6e41ac2.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_4_L_WEB72_41d646cf29.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_5_L_WEB72_4713d64a2a.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101112/BC101112_6_L_WEB72_49c4915625.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op de fiets. Perfect voor dagelijks gebruik in de stad."
314788,8713568333269,BC101107        ,WAYZ DN7 ZWART-MAT 48,2019,"€ 799,00",BAWAYDZM2,Lage instap,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101108/BC101108_7501c8b2fb.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101108/BC101108_1_L_WEB72_b0aca7e85d.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101108/BC101108_2_L_WEB72_32cbceb1d1.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101108/BC101108_3_L_WEB72_88ba003ce7.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101108/BC101108_4_L_WEB72_4c66f10a62.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101108/BC101108_5_L_WEB72_d76c0ff8bb.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op de fiets. Perfect voor dagelijks gebruik in de stad."
314789,8713568333276,BC101108        ,WAYZ DN7 ZWART-MAT 53,2019,"€ 799,00",BAWAYDZM2,Lage instap,Aluminium,Batavus,"https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101108/BC101108_7501c8b2fb.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101108/BC101108_1_L_WEB72_b0aca7e85d.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101108/BC101108_2_L_WEB72_32cbceb1d1.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101108/BC101108_3_L_WEB72_88ba003ce7.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101108/BC101108_4_L_WEB72_4c66f10a62.jpg,https://d16g7kdkojt4va.cloudfront.net/ACCELL_NL/Bicycles/Batavus/BC101108/BC101108_5_L_WEB72_d76c0ff8bb.jpg","Wat je ook koopt, je kiest voor kwaliteit. Dat begrijpen wij als geen ander! Door de slim weggewerkte handremkabels, automatische kettingspanner, zeven versnellingen en vering stap je telkens weer met enthousiasme op de fiets. Perfect voor dagelijks gebruik in de stad."
